coeff,time,N_C,PO(Te),PO(St)
0.1,0,16,0.16,0.2827553643717443
0.1,1,12,0.12,0.2825063557886722
0.1,2,12.0,0.12,0.2825063557886722
0.1,3,12.0,0.12,0.2825063557886722
0.1,4,12.0,0.12,0.2825063557886722
0.1,5,12.0,0.12,0.2825063557886722
0.1,6,12.0,0.12,0.2825063557886722
0.2,0,27,0.27,0.3020694470086831
0.2,1,23,0.23,0.30174797747053056
0.2,2,22.0,0.22,0.3017829727525246
0.2,3,22.0,0.22,0.3017829727525246
0.2,4,22.0,0.22,0.3017829727525246
0.2,5,22.0,0.22,0.3017829727525246
0.2,6,22.0,0.22,0.3017829727525246
0.3,0,39,0.39,0.3285875750266803
0.3,1,31,0.31,0.32975254223678413
0.3,2,30.0,0.3,0.32956710568556324
0.3,3,29.0,0.29,0.32978813976268045
0.3,4,29.0,0.29,0.32978813976268045
0.3,5,29.0,0.29,0.32978813976268045
0.3,6,29.0,0.29,0.32978813976268045
